sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering; groundSteering-calculated
1584543621;111423;1336;598223;1584543621;111423;-0; -0.019353590193084136;
1584543621;212145;1336;698948;1584543621;212145;-0.1229529; 0.2710167731636987;
1584543621;312653;1336;799451;1584543621;312653;-0.2459059; -0.0024044320544084896;
1584543621;413142;1336;899990;1584543621;413142;0.0239958; 0.15872405193156586;
1584543621;513691;1337;536;1584543621;513691;0.1379559; 0.2473604856405353;
1584543621;614282;1337;101122;1584543621;614282;0.1619428; 0.29730130082614253;
1584543621;714816;1337;201664;1584543621;714816;0.1349553; -0.03646333986450795;
1584543621;815341;1337;302191;1584543621;815341;0.1349553; -0.017430843737170132;
1584543621;915861;1337;402719;1584543621;915861;0.1229618; 0.18465794754109416;
1584543622;16616;1337;503502;1584543622;16616;0.1259624; 0.2729675940337321;
1584543622;118402;1337;605779;1584543622;118402;0.1259624; 0.2511229699223379;
1584543622;219629;1337;706488;1584543622;219629;0.1259624; 0.26640256399615264;
1584543622;319474;1337;806345;1584543622;319474;0.1259624; 0.23342653601480617;
1584543622;420178;1337;906971;1584543622;420178;0.1259624; 0.20476258415527443;
1584543622;520664;1338;7517;1584543622;520664;0.1259624; 0.2153564368356446;
1584543622;621361;1338;108173;1584543622;621361;0.1229618; 0.17665310086037073;
1584543622;721846;1338;208631;1584543622;721846;0.1259624; 0.2987381117990629;
1584543622;822272;1338;309057;1584543622;822272;0.1259624; 0.27358464108691;
1584543622;922766;1338;409549;1584543622;922766;0.1259624; 0.24803197015761252;
1584543623;23210;1338;509999;1584543623;23210;0.1259624; 0.22356232348972688;
1584543623;123680;1338;610477;1584543623;123680;0.1259624; 0.2951090698129241;
1584543623;224188;1338;710994;1584543623;224188;0.128963; 0.2823690934146548;
1584543623;324677;1338;811473;1584543623;324677;0.1259624; 0.27164202248966535;
1584543623;425180;1338;911993;1584543623;425180;0.128963; -0.03887192069142581;
1584543623;525695;1339;12497;1584543623;525695;0.1199612; -0.03504134862826214;
1584543623;626353;1339;113232;1584543623;626353;-0; -0.03950014079338765;
1584543623;727434;1339;214340;1584543623;727434;-0; -0.0428966811869822;
1584543623;828141;1339;314955;1584543623;828141;-0; -0.061921572473702446;
1584543623;928647;1339;415445;1584543623;928647;-0; 0.20693043179016718;
1584543624;29089;1339;515875;1584543624;29089;-0; -0.07196586451936482;
