X-Position,Y-Position,Width,Height
tensor(92.9768),tensor(284.7814),tensor(18.5679),tensor(24.9346)
tensor(357.5471),tensor(283.3380),tensor(16.1930),tensor(24.6444)
----- NEW FRAME -----
tensor(500.2299),tensor(324.4315),tensor(29.4645),tensor(45.1765)
tensor(66.8876),tensor(287.6347),tensor(19.3659),tensor(27.8815)
tensor(360.4755),tensor(287.7014),tensor(15.8320),tensor(25.0419)
tensor(24.7954),tensor(277.8256),tensor(14.7217),tensor(19.9915)
tensor(292.7968),tensor(278.3293),tensor(13.0126),tensor(19.3408)
----- NEW FRAME -----
tensor(531.7598),tensor(341.6907),tensor(36.3145),tensor(55.7683)
tensor(361.8082),tensor(293.9447),tensor(16.4025),tensor(27.6008)
tensor(37.4413),tensor(295.7783),tensor(21.3483),tensor(28.7361)
tensor(37.4403),tensor(287.1683),tensor(21.9941),tensor(48.3075)
tensor(289.2870),tensor(282.4548),tensor(13.0801),tensor(21.0273)
----- NEW FRAME -----
tensor(571.7284),tensor(357.3187),tensor(43.9336),tensor(72.7592)
tensor(363.3430),tensor(299.3916),tensor(17.9572),tensor(30.9827)
tensor(8.7817),tensor(301.3586),tensor(17.5634),tensor(30.0870)
tensor(284.5577),tensor(285.6377),tensor(14.5542),tensor(23.1500)
----- NEW FRAME -----
tensor(367.0009),tensor(304.1843),tensor(20.4776),tensor(33.1779)
tensor(282.7449),tensor(287.8548),tensor(14.1654),tensor(23.8096)
tensor(618.1055),tensor(385.2259),tensor(43.7891),tensor(75.5153)
----- NEW FRAME -----
tensor(376.5409),tensor(307.9930),tensor(21.9745),tensor(35.3939)
tensor(285.7156),tensor(291.2809),tensor(16.9092),tensor(25.2239)
----- NEW FRAME -----
tensor(398.6019),tensor(312.7170),tensor(23.8647),tensor(36.0177)
tensor(299.9226),tensor(293.4631),tensor(16.8782),tensor(26.2054)
tensor(189.0491),tensor(283.0423),tensor(14.8868),tensor(20.9498)
----- NEW FRAME -----
tensor(435.5708),tensor(318.7571),tensor(26.6758),tensor(39.7756)
tensor(325.9717),tensor(296.5613),tensor(18.9285),tensor(25.9803)
tensor(212.7719),tensor(283.8788),tensor(14.9963),tensor(21.0219)
----- NEW FRAME -----
tensor(478.6153),tensor(324.5463),tensor(27.9138),tensor(40.8496)
tensor(357.1091),tensor(298.5953),tensor(19.2523),tensor(28.5229)
----- NEW FRAME -----
tensor(514.5285),tensor(331.3915),tensor(31.8882),tensor(47.0095)
tensor(378.9546),tensor(301.4093),tensor(19.1132),tensor(29.5730)
tensor(89.5538),tensor(279.0223),tensor(12.6513),tensor(17.0319)
----- NEW FRAME -----
tensor(544.2346),tensor(338.4575),tensor(33.6260),tensor(49.8896)
tensor(394.1771),tensor(304.8878),tensor(19.6355),tensor(31.2756)
tensor(266.8211),tensor(287.5300),tensor(14.5091),tensor(22.6539)
----- NEW FRAME -----
tensor(401.4440),tensor(307.6478),tensor(20.4592),tensor(31.9206)
tensor(567.0304),tensor(346.3248),tensor(35.9834),tensor(53.5247)
tensor(268.2054),tensor(289.5720),tensor(15.8849),tensor(24.1810)
tensor(95.4582),tensor(279.0536),tensor(12.1719),tensor(18.6904)
----- NEW FRAME -----
tensor(408.4849),tensor(310.5158),tensor(21.7664),tensor(35.0524)
tensor(594.4108),tensor(353.9990),tensor(40.8372),tensor(57.2617)
tensor(268.7139),tensor(291.4867),tensor(16.2203),tensor(23.7690)
tensor(91.1797),tensor(280.8726),tensor(13.0753),tensor(18.3546)
----- NEW FRAME -----
tensor(624.6207),tensor(366.9042),tensor(30.7585),tensor(65.1213)
tensor(419.3828),tensor(315.2150),tensor(23.6219),tensor(36.5609)
tensor(270.6266),tensor(294.2191),tensor(16.6689),tensor(23.7455)
tensor(89.3366),tensor(282.1192),tensor(12.7392),tensor(18.9620)
----- NEW FRAME -----
tensor(430.9901),tensor(319.8635),tensor(24.9862),tensor(38.5870)
tensor(272.7524),tensor(296.1612),tensor(16.1459),tensor(24.9697)
tensor(85.5160),tensor(285.0269),tensor(15.2338),tensor(20.4470)
tensor(178.8367),tensor(287.3046),tensor(13.3159),tensor(21.9083)
----- NEW FRAME -----
tensor(454.4149),tensor(325.7174),tensor(26.7603),tensor(41.7200)
tensor(281.7710),tensor(297.5323),tensor(16.4402),tensor(27.2762)
tensor(90.4462),tensor(284.6914),tensor(13.7892),tensor(20.1851)
tensor(185.5699),tensor(288.0478),tensor(13.6467),tensor(21.9362)
----- NEW FRAME -----
tensor(485.2939),tensor(334.4715),tensor(30.2438),tensor(46.4935)
tensor(293.0117),tensor(299.5212),tensor(18.0898),tensor(28.5143)
tensor(192.6785),tensor(289.1761),tensor(14.7122),tensor(22.9124)
----- NEW FRAME -----
tensor(510.1036),tensor(345.3036),tensor(35.8859),tensor(53.7974)
tensor(294.1043),tensor(304.2678),tensor(19.6965),tensor(31.9421)
tensor(188.5562),tensor(292.7786),tensor(15.8786),tensor(25.3221)
tensor(88.5470),tensor(287.2294),tensor(12.9733),tensor(22.3197)
----- NEW FRAME -----
tensor(536.6336),tensor(358.2125),tensor(40.0638),tensor(59.3266)
tensor(292.5825),tensor(307.2430),tensor(20.7733),tensor(33.3413)
----- NEW FRAME -----
tensor(577.9562),tensor(376.5063),tensor(47.0051),tensor(67.7109)
tensor(293.9941),tensor(311.6821),tensor(21.9761),tensor(35.3976)
tensor(176.9880),tensor(297.1672),tensor(16.5949),tensor(26.3231)
tensor(68.5587),tensor(291.3811),tensor(16.9397),tensor(22.5088)
----- NEW FRAME -----
tensor(305.2505),tensor(318.4338),tensor(24.1770),tensor(39.3336)
tensor(181.6828),tensor(300.5807),tensor(19.4049),tensor(28.2496)
----- NEW FRAME -----
tensor(331.4236),tensor(325.0029),tensor(26.0134),tensor(43.0201)
tensor(200.2231),tensor(303.9808),tensor(19.0665),tensor(29.2209)
----- NEW FRAME -----
tensor(371.0590),tensor(331.6406),tensor(27.9977),tensor(46.1124)
tensor(228.4900),tensor(305.0040),tensor(20.5984),tensor(31.1345)
tensor(113.0120),tensor(295.1933),tensor(17.2569),tensor(24.8438)
----- NEW FRAME -----
tensor(416.5922),tensor(339.9798),tensor(32.8398),tensor(50.4232)
tensor(257.3899),tensor(306.5300),tensor(20.7860),tensor(32.4901)
tensor(139.6379),tensor(295.6401),tensor(17.5755),tensor(26.8035)
----- NEW FRAME -----
tensor(475.4839),tensor(353.3606),tensor(37.5189),tensor(55.5913)
tensor(290.3133),tensor(310.1050),tensor(22.6585),tensor(36.1005)
tensor(167.9624),tensor(297.2431),tensor(19.1198),tensor(27.3036)
----- NEW FRAME -----
tensor(547.3120),tensor(369.8781),tensor(46.9774),tensor(65.4930)
tensor(198.6626),tensor(297.7947),tensor(19.8079),tensor(27.6857)
tensor(326.2182),tensor(313.7077),tensor(21.6854),tensor(34.1514)
----- NEW FRAME -----
tensor(362.8457),tensor(319.1620),tensor(25.0001),tensor(38.8824)
tensor(225.5326),tensor(298.9907),tensor(19.6296),tensor(30.1060)
tensor(104.2579),tensor(286.7619),tensor(16.5432),tensor(23.7646)
tensor(626.8500),tensor(388.2383),tensor(26.3001),tensor(78.5474)
----- NEW FRAME -----
tensor(407.5539),tensor(327.0630),tensor(27.5392),tensor(44.3357)
tensor(256.8990),tensor(302.6552),tensor(21.1338),tensor(32.3500)
tensor(133.1111),tensor(288.0246),tensor(17.4862),tensor(24.1686)
----- NEW FRAME -----
tensor(457.8927),tensor(337.9937),tensor(32.3228),tensor(50.0571)
tensor(287.7500),tensor(306.6863),tensor(21.4045),tensor(34.1946)
tensor(159.3855),tensor(289.5364),tensor(17.7208),tensor(25.6970)
tensor(42.1665),tensor(275.2570),tensor(13.8074),tensor(18.3635)
----- NEW FRAME -----
tensor(505.8337),tensor(350.8781),tensor(37.0873),tensor(55.5509)
tensor(177.6768),tensor(292.2346),tensor(16.7206),tensor(27.6196)
tensor(310.9388),tensor(312.5876),tensor(22.7365),tensor(35.3024)
----- NEW FRAME -----
tensor(334.4144),tensor(319.8459),tensor(25.2551),tensor(38.6882)
tensor(564.4968),tensor(368.2841),tensor(43.9769),tensor(61.1076)
tensor(191.7553),tensor(296.9942),tensor(18.4600),tensor(26.7413)
tensor(75.0660),tensor(276.6619),tensor(14.1194),tensor(22.8340)
----- NEW FRAME -----
tensor(208.5313),tensor(299.5841),tensor(18.8251),tensor(29.7020)
tensor(361.3489),tensor(328.5159),tensor(27.4418),tensor(44.8051)
tensor(90.6901),tensor(277.6912),tensor(14.4825),tensor(24.8219)
tensor(629.8728),tensor(389.4349),tensor(20.2544),tensor(72.4643)
----- NEW FRAME -----
tensor(394.1467),tensor(339.3093),tensor(30.8846),tensor(48.1825)
tensor(225.8083),tensor(305.2318),tensor(20.0401),tensor(32.2656)
tensor(106.4557),tensor(279.3186),tensor(13.9706),tensor(25.7653)
----- NEW FRAME -----
tensor(252.7380),tensor(310.4928),tensor(21.6972),tensor(34.8689)
tensor(447.9052),tensor(352.1897),tensor(34.5808),tensor(51.7960)
tensor(131.0047),tensor(281.8836),tensor(15.4032),tensor(27.4966)
----- NEW FRAME -----
tensor(285.3626),tensor(313.8771),tensor(22.2975),tensor(37.0385)
tensor(527.2511),tensor(374.5923),tensor(39.9236),tensor(67.8840)
tensor(160.5350),tensor(280.9410),tensor(16.9357),tensor(29.5837)
----- NEW FRAME -----
tensor(326.6709),tensor(319.1926),tensor(24.8806),tensor(39.2576)
tensor(193.7993),tensor(281.3133),tensor(15.6660),tensor(30.2838)
----- NEW FRAME -----
tensor(401.9813),tensor(328.5976),tensor(28.9811),tensor(44.2241)
tensor(249.3398),tensor(280.1454),tensor(15.8168),tensor(31.5001)
----- NEW FRAME -----
tensor(497.2875),tensor(343.3354),tensor(36.8813),tensor(54.9683)
tensor(10.0586),tensor(291.1421),tensor(20.1172),tensor(30.7910)
tensor(306.8778),tensor(281.3702),tensor(18.5168),tensor(35.1247)
----- NEW FRAME -----
tensor(617.3657),tensor(368.7801),tensor(45.2687),tensor(68.3000)
tensor(55.7468),tensor(297.5474),tensor(21.1907),tensor(27.6471)
tensor(364.0931),tensor(285.5205),tensor(20.0909),tensor(38.9749)
----- NEW FRAME -----
tensor(91.0270),tensor(301.1034),tensor(22.2663),tensor(29.9808)
tensor(416.2833),tensor(296.9702),tensor(18.8480),tensor(28.2391)
tensor(151.1454),tensor(282.3384),tensor(15.3712),tensor(19.0964)
----- NEW FRAME -----
tensor(77.5398),tensor(308.9465),tensor(24.2912),tensor(34.5239)
tensor(434.1632),tensor(304.6306),tensor(19.7258),tensor(33.6146)
tensor(149.0792),tensor(286.4230),tensor(16.3797),tensor(21.1583)
tensor(419.2200),tensor(280.6605),tensor(11.8865),tensor(17.0831)
tensor(406.4711),tensor(288.0482),tensor(14.7360),tensor(21.9725)
----- NEW FRAME -----
tensor(440.9750),tensor(308.7894),tensor(22.4489),tensor(35.4359)
tensor(46.5774),tensor(316.0738),tensor(26.6249),tensor(38.2920)
tensor(409.9927),tensor(289.6647),tensor(14.7146),tensor(22.9269)
tensor(133.5146),tensor(288.3690),tensor(17.7176),tensor(23.9772)
----- NEW FRAME -----
tensor(14.2056),tensor(322.5541),tensor(28.4112),tensor(43.5667)
tensor(450.2859),tensor(313.3298),tensor(24.0762),tensor(35.7558)
tensor(119.1153),tensor(289.5662),tensor(18.0759),tensor(25.3541)
tensor(412.4467),tensor(291.7876),tensor(16.4161),tensor(25.0627)
tensor(449.2589),tensor(275.9586),tensor(10.6516),tensor(16.1022)
----- NEW FRAME -----
tensor(459.5667),tensor(318.6271),tensor(25.5876),tensor(39.3595)
tensor(102.8832),tensor(293.3511),tensor(18.8259),tensor(26.0314)
tensor(415.7867),tensor(294.0873),tensor(17.3398),tensor(24.9341)
tensor(426.1044),tensor(283.3862),tensor(12.1282),tensor(18.7041)
tensor(450.8525),tensor(276.9123),tensor(10.6970),tensor(16.3257)
tensor(182.9379),tensor(284.0013),tensor(12.7771),tensor(16.8102)
----- NEW FRAME -----
tensor(470.4324),tensor(325.0455),tensor(28.0323),tensor(43.0188)
tensor(419.9955),tensor(295.4023),tensor(18.1493),tensor(26.9822)
tensor(86.4432),tensor(296.7534),tensor(19.5292),tensor(25.2382)
tensor(454.6500),tensor(277.2320),tensor(10.3539),tensor(16.8352)
tensor(429.1131),tensor(283.6599),tensor(12.1254),tensor(20.2549)
tensor(173.9207),tensor(284.4581),tensor(13.9850),tensor(17.9921)
----- NEW FRAME -----
tensor(485.7130),tensor(333.1126),tensor(32.0333),tensor(47.2839)
tensor(423.9828),tensor(298.5449),tensor(18.2883),tensor(29.8206)
tensor(68.6465),tensor(301.5194),tensor(20.4065),tensor(25.9127)
tensor(458.2917),tensor(278.5537),tensor(11.6221),tensor(16.4958)
tensor(165.1160),tensor(286.4828),tensor(15.1864),tensor(20.9938)
tensor(433.4320),tensor(286.2723),tensor(12.0021),tensor(20.6091)
----- NEW FRAME -----
tensor(505.4889),tensor(345.8084),tensor(36.3616),tensor(53.5920)
tensor(45.3477),tensor(306.6622),tensor(23.1327),tensor(31.2993)
tensor(154.1375),tensor(290.1303),tensor(13.6148),tensor(21.1868)
tensor(432.1477),tensor(295.7870),tensor(21.6132),tensor(33.8394)
tensor(430.8285),tensor(300.8951),tensor(21.4141),tensor(37.1791)
tensor(435.5078),tensor(288.9895),tensor(15.9603),tensor(20.6219)
tensor(462.5785),tensor(281.3502),tensor(13.0289),tensor(18.4926)
----- NEW FRAME -----
tensor(537.3275),tensor(363.6389),tensor(41.5038),tensor(64.1641)
tensor(440.9584),tensor(304.8815),tensor(22.3400),tensor(46.8057)
tensor(21.2797),tensor(312.9969),tensor(23.8195),tensor(33.8088)
tensor(144.7739),tensor(293.8181),tensor(14.7162),tensor(23.8157)
tensor(441.2717),tensor(293.8048),tensor(21.5361),tensor(25.1125)
tensor(490.3210),tensor(275.5352),tensor(10.5938),tensor(14.9776)
----- NEW FRAME -----
tensor(581.0079),tensor(388.5849),tensor(45.7512),tensor(75.9589)
tensor(453.1774),tensor(311.6963),tensor(24.9828),tensor(52.1302)
tensor(132.2028),tensor(296.5630),tensor(18.0978),tensor(25.1456)
tensor(252.5202),tensor(284.6448),tensor(12.1591),tensor(17.7395)
tensor(498.3477),tensor(279.2026),tensor(11.0037),tensor(15.0563)
tensor(452.9062),tensor(297.6272),tensor(18.1533),tensor(25.2762)
----- NEW FRAME -----
tensor(470.4127),tensor(317.1981),tensor(28.1101),tensor(59.3398)
tensor(119.6109),tensor(301.9119),tensor(18.6893),tensor(26.1665)
tensor(490.6368),tensor(289.1740),tensor(13.6772),tensor(19.6211)
tensor(467.9310),tensor(301.1696),tensor(19.6388),tensor(26.6726)
tensor(251.2289),tensor(286.2039),tensor(12.9535),tensor(20.0645)
tensor(470.8531),tensor(324.3761),tensor(26.3033),tensor(43.2453)
tensor(470.9318),tensor(302.5224),tensor(26.3365),tensor(30.3273)
----- NEW FRAME -----
tensor(493.2552),tensor(338.2618),tensor(30.4272),tensor(48.2880)
tensor(481.1152),tensor(306.5178),tensor(20.8192),tensor(29.2869)
tensor(103.8976),tensor(306.9489),tensor(21.1484),tensor(30.6089)
tensor(249.1126),tensor(288.2777),tensor(13.1619),tensor(20.8994)
tensor(503.1256),tensor(293.0871),tensor(14.7993),tensor(21.1788)
----- NEW FRAME -----
tensor(80.6867),tensor(315.5933),tensor(22.2536),tensor(31.9426)
tensor(518.5594),tensor(351.2225),tensor(34.6074),tensor(52.8243)
tensor(493.4387),tensor(313.1109),tensor(22.1423),tensor(32.8918)
tensor(513.9059),tensor(295.5897),tensor(14.8562),tensor(23.0299)
tensor(242.4132),tensor(294.1086),tensor(13.0120),tensor(20.7488)
----- NEW FRAME -----
tensor(552.8927),tensor(370.6810),tensor(43.3096),tensor(65.3757)
tensor(53.8241),tensor(322.3774),tensor(24.7884),tensor(34.2189)
tensor(508.3673),tensor(319.8184),tensor(23.5233),tensor(37.3793)
tensor(234.7100),tensor(296.8838),tensor(13.8418),tensor(21.9729)
tensor(525.6117),tensor(299.5994),tensor(17.3756),tensor(25.2314)
----- NEW FRAME -----
